         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15
    0   64    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    1   22    2    6    0    2    0    0    4    0    4    6    4    2    0    6    6
    2    0   12    0    4    6    8    6    0    0    0    2    6    2    8    4    6
    3    2    8    0    4    6    6    6    0    2    0    2    2    4    8    6    8
    4    0    2   20    2    2    6    2    2    2    2    4    0    0   10    2    8
    5    6    4   12    4    0    4    0    2    0    4    4    2    4   10    2    6
    6    0    4    8    2    6    0    8    4    0    2    4    0   12    4    2    8
    7    4    4    4    2    8    4    8    2    4    2    4    0    8    2    4    4
    8    0    8    0    8   10    2    4    0    2    2    6   10    4    4    2    2
    9    0    4    0   12   12    2    2    4    4    2    2   12    0    4    4    0
   10    0    0    2    0    4    8    6    8    2    6   10    8    2    2    2    4
   11    8    0    4    0    4   12    8    4    4    4    2    6    0    4    2    2
   12    0    6    4    4    2    0   16    4    8    8    0    2    4    4    2    0
   13    0   10    6    4    2    0   10    0    2   12    6    0    6    4    0    2
   14    0    0    6    4    6    4    2   18    2    4    2    6    4    4    2    0
   15    2    0    4    2    6    8    6   16    4    8    2    6    0    0    0    0
   16    0    2    4    4    4    0    2    4   20    6    6    2    2    2    2    4
   17    4    2    2    2    2    2   10    4   20    0    4    2    2    4    0    4
   18    0    4    0    2    0    6    6    6    4   10    2    2   10    6    6    0
   19    2    0    2    8    0    6    6    8    2    2    2    6    6    6    8    0
   20    0    4    4    2    2   10    4    2    0    2   16    8    0    2    2    6
   21    8    2    8    0    4    4    0    2    2    4   14    2    2    2    2    8
   22    0    0    4    4    8    2    0    6    6    2    2    6    6    0   14    4
   23    0    6    2    4    6    6    2    6    2    4    4    2    8    0    8    4
   24    0    2    4   16    0    4    4    2    4    6    0    8   10    2    2    0
   25    2    2    2    8    2    0    2    6    2    8    4    8   12    4    2    0
   26    0    4    6    6    0    8    4    0   12    2    2    4    2    8    2    4
   27    0    6    8    6    0    4    2    2    6    0    2    4    6   10    4    4
   28    0   12    0    4    8    2    0    6    0   10    4    2    4    0   12    0
   29    2   10    4    2    4    0    0    2    6   10    4    6    0    0   12    2
   30    0    4    2    2    6    4    0    2    2    2    4    0    2    8    8   18
   31    2    4    0    6    6    6    2    2    4    0    2    2    4    6    4   14
   32   18    4    0    2    0    0    0   12    0    4    2    2    6    0    2   12
   33   20    2    4    4    0    4    2   12    0    2    4    0    0    4    2    4
   34    2    8    4    2    8    2    6    0    2    0   10    4    2    4    6    4
   35    4    6    2    6    4    4   10    0    2    0    4    4    2    6    4    6
   36    4    0   18    0    2    4    2    2    4    4    8    6    0    6    2    2
   37    8    0   18    0    4    4    0    2    4    0    4    2    4    8    2    4
   38    2    4    2    8    2    6    8    4    4    2    0    2    8    8    2    2
   39    0    2    4    4    4    4   10    4    0    4    2    4    8    6    0    8
   40    2    2    4    8   12    0    4    4    0    4    2    6    4    4    8    0
   41    2    6    4    4   12    0    2    2    8    2    2    8    8    2    2    0
   42    8    2    0    0    4   14    6    6    0    2    4    8    2    4    0    4
   43    6    4    2    0    4    8    0    4    0    8    4    4    6    4    2    8
   44    0   12    0    6    2    0   12    0    4   12    2    4    4    2    0    4
   45    0   12    0   10    0    4    8    2    4    8    4    2    0    4    4    2
   46    8    0    8    2    6    6    6    8    6    4    0    4    2    4    0    0
   47    8    0    6    0    4    4    8   10    2    4    4    8    0    2    4    0
   48    2    0    4    2    2    6    4    4   18    2    6    2    0    6    0    6
   49    0    0    0    0    6    2    2    6   16   10    8    6    0    2    0    6
   50    2    0    2    4    2    6   12    8    2    8    0    2    8    4    4    0
   51    2    0    2    2    4    4    6    8    0    6    4    4   12    4    6    0
   52    6    0    4    2    4    8    0    0    8    6   20    2    2    2    0    0
   53    2    2    4    6    4    6    6    2    6    4   12    4    2    2    0    2
   54    0    4    2    4    8    4    0    6    2    6    2    8    6    2    4    6
   55    0    4    2    2    6    8    4    2    8    6    2    4    4    4    6    2
   56    2    6    0   12    2    2    2    2    4    2    4    6   12    2    6    0
   57    2    8    4   10    4    4    4    0    6    4    0    6    8    0    4    0
   58    0    6   10    2    6    2    2    4    2    2    0    2    6    8    2   10
   59    4    6    6    6    2    6    2    0    4    0    2    0    4   10    4    8
   60    2    8    2    4    4    4    0    4    6    6    0    4    0    2   18    0
   61    2    6    2    6    2    0    0   10    0    6    2    4    2    2   18    2
   62    6    8    4    6    0    0    0    0    2    0    4    2    2    6   10   14
   63    4    6    4    4    4    2    0    0    4    0    6    4    4    4    6   12
