         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15
    0   64    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    1    6    4    2    4    4    4    0    4    2    6    2    2   12    6    4    2
    2    0    4    0    2    4    4    0    6    4    4    4    6    4   12    4    6
    3    2    6   10    2    6    8    2    4    0    2    2    4    8    4    2    2
    4    0    4   10    4    2    4    6    6    4    4    2    0    6    4    6    2
    5    4    4    6    4    8    4    6    0    4    8    2    0    6    2    0    6
    6    0    8    0    8    2    2    6    2    2    2    6    6    2    6    6    6
    7    2    6    6    6    4    2    6    4    0    2    0    6    4    4    2   10
    8    0    8    0    0   16    4    4    4    0    4    4    4    2    6    2    6
    9    2    6    4    4    6    4    4    6    6    2    4    4    6    4    0    2
   10    0    6    2    6    0    8    8    6    2   10    4    2    4    2    4    0
   11    4    6    4    4    0    6    6    2    8    2    4    4    2    8    4    0
   12    0    2    6    2    2    2    8    6    8    4    6    4    6    4    0    4
   13    4    4    0    2    6   12   14    6    4    4    0    2    0    2    4    0
   14    0    4    6    2   10    8    0    6    0    4    6   10    4    2    2    0
   15    8    0    4    6    2    0    2    2    8    6    6    6    2    2    4    6
   16    0    2    2    4    2    2    8    4   12    6    8    6    0    4    4    0
   17    4    0    2    4    4    2    8    8    6    4    2    6    4    4    2    4
   18    0    4    6    4    0    8    2    8    2    8    0    4    8    2    6    2
   19    2    4    6    2    8    8    0    2    2    4    4    8    6    2    4    2
   20    0    2    8    8   10    0    6    2    4    2   10    2    0    2    2    6
   21    2    2    2    4    0    4    0    2    8    4   14    4    0    4   10    4
   22    0    4    2    2    8    4    0    4    8    2    2    8    8    2    4    6
   23    6    2    2    2    2    4   10    8    6    2    2    2    4    6    0    6
   24    0    4    4    0    2    4    4    2    6    2    2    2   12    6    6    8
   25    2    8    8    2   10    0    2    4    2    0    4    6    6    4    2    4
   26    0    8    2    8    0    6    6    2   10    2    6    0    2    4    2    6
   27   10    6    0    2    2    4    2    2    2    4   10    6    0    4    2    8
   28    0    2   14    2    2    4    4    4    2    6    0    6    2    2   12    2
   29    4    4    0    8    2    2    2    2    4    4    4    0    2    2   18    6
   30    0    2    2   12    4    4    2    2    0    4    4    4    4    6    4   10
   31    2    2    8    8    0    0    0    8    2   10    4    4    2    6    6    2
   32    8    4    2    4    4    2    6    2    6    2    4    6    2    0    8    4
   33    6    6    4    4    6    2    4    0    6    2    6    6    2    2    6    2
   34    0    4    4    8    6    2    8    4    4    4    4    0    4    4    2    6
   35    0    4    2   10    8   10    4    2    0    4    2    2    0    6    4    6
   36    2    8   18    0    4    4    4    4    2    6    2    2    6    0    2    0
   37    2    0    6    2    4    2    0    8    8    2   10    6    4    2    6    2
   38    4    4    0    8    2    6    2    2    6    0    6    8    2    0    2   12
   39   10    0    4    8    4    2    8   12    0    0    0    2    0    4    2    8
   40    4    0    4    4    8    4    0    4    2    4    4    2    4   10    6    4
   41    6    0    6    2   12    6    2    6    0    6    4    4    4    2    2    2
   42    4    2   10    6    0    6    4   12    6    6    0    2    2    2    2    0
   43    4    4    6    2    4    2    4    2    2    8    2    4    2    2    8    8
   44    2    4    4    2    4    2   12    2    2    2    2    2    4   12    2    6
   45    6    6    0    6    0    4    6    0    4    6    2    2    4    6   10    2
   46    4    6    6    0    4    6    4    6    0    0    6   14    4    0    0    4
   47    2    8    8    6    6    0    4    6    4    4    2    6    0    0    2    6
   48    4    4    2    6    6    2    6    2    8    0    0    4    0    8    2   10
   49    2    2    6    6    0    0    4    4   18    2    2    2   10    2    2    2
   50    4    2    4    0    4    6    0    4    8    6    6    2    4    6    6    2
   51    2    6    0    8    6    8    4    2    2    6    2    2    4    6    0    6
   52    2    4    4    6    8    2    0    2    4    4   12    4    8    0    2    2
   53    8    6    6    2    2    6    2    4    0    2   10    2    2    6    6    0
   54    8    2    2    4    2    4    2    8    2    6    2    6    6    2    8    0
   55    6    0    0    0    2    2    6    8    2    6    0    6    6    8    6    6
   56    6    0    2    6    8    6    4    4    0    4    2    4    8    0    6    4
   57    0    2    6    4    0    4    6    2    2    4    8    2   14    6    0    4
   58    2   12    0    2    0    4    4    0    6   10    4    4    0    6    8    2
   59    4    8    2    0    4    8    4    2    6    8    2    6    4    2    2    2
   60    4    0    0    4    2    6    4    4    4    6    6    4    4    6    8    2
   61    6    2    2    2    4    8    4    4    6    0   10    4    0    2    8    2
   62    6    8    2    4    2    2    4    4    4    4    4    0    6    8    0    6
   63    0   10    6    2    2    0    2    2    4    4    2    8    8    8    0    6
