         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15
    0   64    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    1   10    2    4    4    6    2    0    4    6    2    2    6    2    6    2    6
    2    0   12    2    0    8    8    8    2    2    2    4    2    4    4    4    2
    3    0    8    4    0    6    6    8    4    2    2    2    2    2    6    8    4
    4    0    4   16    2    0    4    4    6    4    4    4    2    2    6    2    4
    5    2    2   14    0    4    6    6    2    2    2    2    0    6    4    8    4
    6    0    0    0   12    6    4    6    4    6    2   10    6    4    2    0    2
    7    2    0    0   16   10    4    4    4    6    4    2    2    0    2    4    4
    8    0    6    4    6   10    0    0    6    8    8    4    0    0    4    6    2
    9    4   12    0    6   12    4    0    2    0    2    0    4    6    4    2    6
   10    0    6    6    2    2   10    8    6    4    6    2    2    4    0    2    4
   11    2    6    2    0    0   14    6    6    2    6    4    6    2    4    2    2
   12    0    8    4    6    0    2    8    0    6    4    6    2    6    2    2    8
   13    0    4    8    8    2    2   10    2    2    0    2    8    8    2    4    2
   14    0    0    4    4    6    8    2    8    6    6    2    6    4    2    4    2
   15    4    2    0    2    4    2    2   16    0    6    6    4    2    4    6    4
   16    0    2    0   10    4    4    4    4   10    8    2    4    2    6    2    2
   17    4    2    2    6    6    0    0    4   12    2    6    2    2    8    4    4
   18    0    4    4    0    6    8    4    2    6   12    0    2    2    6    2    6
   19    6    4    4    0    0    2    2    2    2   16    2    2    4    6    4    8
   20    0    8    4    4    2    2    2    2    4    0   14    2    4    4    6    6
   21    0    4    4    2    0   10    4    4    2    2   18    0    8    2    0    4
   22    0    2    6    8    6    2    0    8    0    0    2   10    6    4    4    6
   23   12    2    4    4    0    2    0    8    4    2    2   10    4    2    6    2
   24    0    2    4    0    4    0    6    8    0    6    2    6   10    2   10    4
   25    6    0    2    4    2    4    8    2    4    8    6    2   12    0    4    0
   26    0    4    4    2    2    6    2    4    6    2    2    8    6   10    2    4
   27    8    6    2    0    4    0    4    0   12    6    2    4    2    6    2    6
   28    0    6    4    4    4    0    8    2    0    2    4    8    4    4   12    2
   29    2    6   10    2    4    4    4    0    4    2    0   10    4    2    8    2
   30    0    0    2    4    4    6    2    2    2    2    6    4    6    8    6   10
   31    2    4    4   10    4    2    6    4    4    2    8    2    0    6    0    6
   32   16    0    2    6    0    2    4    6    0    4    8    4    0    6    2    4
   33   16    2    2    4    4    6    0    2    2    0    4    6    2    4    6    4
   34    0    6    2    2    2    4    8    4    6    0    6   10    4    2    4    4
   35    0   10    2    4   10    4    4    2    4    2    4    2    8    6    0    2
   36    6    2   20    0    2    2    0    8    4    2    0    2    0    6    4    6
   37    0    2   12    2    0    8    8    4    6    4    2    0    4    0    4    8
   38    4    4    0   10    4    6    6    6    6    8    4    0    2    2    2    0
   39    6    2    2   10    6    4    6    0    4    4    6    2    2    4    4    2
   40    4    6    0    2   12    0    0    4    4    2    2    0    4    8   10    6
   41    4    6    4    8    8    2    2    2    2    6    0    2    4    4    4    6
   42    2   10    6    0    0   10    6    2    6    8    0    4    2    2    2    4
   43    6    4    8    4    0    8    2    4    0    6    6    6    4    4    2    0
   44    0    6    2   12    0    8   10    2    0    2    6    4    2    2    4    4
   45    0   10    2    6    4    2   12    0    6    0    6    2    8    2    2    2
   46    4    2    4    4    8    4    2   12    2    2    2    4    2    4    4    4
   47    4    0    0    2    8    6    2   14    4    6    4    4    4    4    2    0
   48    2    4    4   12    2    2    2    0    8    0    8    2    4   10    2    2
   49    0    2    4    2    2    4    0   10   14    4    2    4    0    6    6    4
   50    2    2    4    4    0    6    6    4    2   12    2    4    6    2    2    6
   51    4    2    8    0    4    4    2    4    2   10    2    4    4    2    6    6
   52    2   10    2    0    4    2    0    0    2    4   12    4    8    4    2    8
   53    2    4    2    6    0    4    4    2    4    2   10    2    6    6    0   10
   54    8    4    2    2    2    4    2    4    4    2    4   10    4    0    6    6
   55    4    4    4    4    2    2    0    8    0    6    2    8    2    8    6    4
   56    4    0    0    2   12    2    2    2    4    8    0    6   12    2    6    2
   57    8    0    4    4    6    2    8    4    0    6    2    4   10    0    2    4
   58    2    8    6    0    8    2    4    2    6    2    6    2    4    8    0    4
   59    2    6    4    2    2    2   10    4    8    2    4    8    0    6    2    2
   60    6    0    6    2    4    6    6    2    2    6    0    6    6    2   10    0
   61    2   10    6    0    4    4    2    0    6    6    2    4    2    2   12    2
   62    2    0    4    6    4    4    6    6    8    2    4    2    4    4    4    4
   63    6    0    0    6    4    2    2    4    2    0    8    6    4    6    6    8
