         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15
    0   64    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    1   12    2    2    8    2    2    8    4    2    6    2    6    2    4    2    0
    2    0   14   10    4    6    6    0    0    6    0    2    0    4    4    4    4
    3    2   18    6    0    0    8    2    4    2    6    0    2    6    2    2    4
    4    0    6   20    2    4    0    4    4    2    2    0    8    4    2    2    4
    5    6    6   16    0    6    0    6    0    2    0    2    4    6    2    4    4
    6    0    2    4   20    0    4    6    8    2    4    2    2    2    2    4    2
    7    8    4    2   14    4    4    0    4    2    0    2    0    4    2   14    0
    8    0    4    6    2   16    2    6    4    6    2    6    2    2    4    2    0
    9    4    4    2    0   18    4    2    6    6    6    0    6    4    2    0    0
   10    0    6    2    4    4   18    2    4    4    2    4    2    4    2    4    2
   11    0    6    6    4    6   14    4    4    4    8    4    0    2    0    2    0
   12    0    2    4    2    4    4   16    4    4    2   10    4    2    6    0    0
   13   10    4    6    4    8    2   14    4    0    0    4    4    0    0    2    2
   14    0    2    2    2    2   10    2   16    4    8    4    2    2    0    4    4
   15    2    4    4   10    4    2    4   10    2    2    6    6    4    0    2    2
   16    0    4    2    4    4    4    4    6    6    8    0    4    4    2    4    8
   17    2    0    2    0    4    8    2    2   14    4    6    0    4    4    6    6
   18    0    4    0    4    2    4    2    4    6   10    2    6    6    8    2    4
   19    6    2    0    0    4    4    4    4    4    4    8    8    2    6    4    4
   20    0    0    4    6    4    4    0    2    2    2   14    8    4    4    8    2
   21    2    0    4    4    0    2    6    2    4    8    6    4    6    6    4    6
   22    0    6    4    4    4    2    8    0    4    6    4   12    4    2    4    0
   23    2    0    4    6    0    4    0    8    2    4    2   16    6    6    0    4
   24    0    4    2    2    4    0    2    2    6    4    4    2    8   10    6    8
   25    2    4    4    0    2    4    0    0    8    2    8    4    6    4   10    6
   26    0    4    2    4    4    2    0    4    2    6    6    4    8   10    2    6
   27    4    4    2    4    0    4    6    0    4    4    4    2    6   10    2    8
   28    0    4    2    2    4    2    4    2    6    4    6    4    4    4   10    6
   29    2    0    4    8    4    2    2    6    4    6    4    0    4    2    8    8
   30    0    2    0    2    2    2    8    4    4    4    0    4    6    4    8   14
   31    0    6    0    2    2    0    4    6    4    4    6    2    2   14    2   10
   32   16    4    6    4    2    0    2    2    4    0    2    4    4    6    4    4
   33   14    6    2    4    6    4    2    6    4    2    0    0    2    6    2    4
   34   10   16    6    2    0    4    4    2    2    0    0    0    4    4    2    8
   35    0   14    6    4    2    4    6    4    0    6    6    0    4    6    0    2
   36    0    4   10   10    8    4    6    2    0    6    2    0    2    0    4    6
   37    6    8   14    4    2    6    4    0    0    2    2    0    4    0    4    8
   38    4    6    2   14    2    4    4    4    2    0    2    6    2    8    2    2
   39    2    6    4   12    2    0    6    4    4    0    0    4    2    8    8    2
   40    6    2    2    4   22    6    0    2    4    2    2    2    2    0    6    2
   41    2    0    2    8   14    4    4   10    4   10    2    0    0    2    0    2
   42    2    6    2    0    2   16    8    4    4    2    2    2    6    6    2    0
   43    2    2    4    2    4   18    4    8    4    2    2    6    4    0    0    2
   44    0    4    6    0    2   10   14    8    2    6    2    4    2    2    0    2
   45    2    4    8    2    6    4   12    2    2    0    2    8    4    2    4    2
   46    2    2    2    6    2    4    6   20    2    4    4    6    2    2    0    0
   47   12    4    0    4    8    4    2   10    2    2    6    2    4    0    2    2
   48    2    6    0    2    0    2    0    4   10   10    6    4    4    6    6    2
   49    4    2    0    0    2    6    4    2    8    4   10    4    2    4    6    6
   50    2    2    6    2    4    2    4    2    8    6    6    4    2    2    4    8
   51    4    2    2    2    8    2    2    2   10    6    4    6    0    8    2    4
   52    4    6    2    4    0    2    2    0    6    8   14    4    4    2    4    2
   53    0    2    4    6    2    0    4    2    4    4   10   10    6    6    2    2
   54    2    0    4    6    8    2    2    0    4    2    8   10    6    4    2    4
   55    2    0    4    4    4    2    4    0    2   12    4    8    4    2    4    8
   56    0    4    6    4    2    4    2    2    2    4    6    6   10    6    0    6
   57    8    6    2    0    0    2    4    2    4    2    6    4   12    2    8    2
   58    6    0    4    2    0    2    4    2    6    8    0    2    8   10    4    6
   59    6    0    2    4    4    4    2    2    2    4    6    4    4    4   10    6
   60    4    2    0    4    4    0    2    4    4    4    6    8    0    2   16    4
   61    0    4    4    4    0    2    2    4    6    4    4    2    6   10   10    2
   62    4    0    6    0    6    2    4    6    4    2    2    2    6    4    8    8
   63    0    4    6    4    0    2    2    6    8    4    0    6    6    4    2   10
