         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15
    0   64    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    1   18    4    4    2    6    4    2    0    4    0    4    0    6    6    4    0
    2    0   20    2    2    8   10    0    2    2    2    0    0    4   10    0    2
    3    0   14    4    2    4    8    2    2    4    2    2    0    8    8    0    4
    4    0    4   18    0    2    0    6    6    0    2    2    6    0    0    8   10
    5    4    6   16    6    2    2    4    8    2    0    0    2    0    0    8    4
    6    0    2    0   18    0    0    6   10    0    0    2    2    0    2    8   14
    7    2    2    6   22    0    4    4    4    0    2    4    2    0    6    4    2
    8    0    8    4    2   22    4    4    4    8    6    0    0    0    0    2    0
    9    8    2    2    2   20    0    2    0    8   10    0    0    4    4    0    2
   10    0    6    2    2    4   24    4    2    6    2    0    6    4    2    0    0
   11    2    8    0    2    2   16    4    2    8   12    2    2    2    2    0    0
   12    0    2    4    8    4    4   16    2    4    0    8    6    2    0    2    2
   13    2    2    4    4    2    4   32    2    0    0    0    8    0    2    0    2
   14    0    2    6    8    4    2    0   14    0    4    8    8    2    2    4    0
   15    0    2    8    4    0    2    2   18    2    2    8   10    0    0    4    2
   16    0    2    0    0    4    6    0    0   12    4    8    6   10   10    2    0
   17    6    4    0    0    8    6    0    0   16    2    2    6    8    6    0    0
   18    0    4    0    0    4    6    2    4    4   18    4    2    6    6    0    4
   19    4    2    0    0    6   12    0    4    0   24    2    0    2    2    2    4
   20    0    0    2    4    4    2    6    6    6    4   22    2    0    0    4    2
   21    0    0    2    2    6    0    0    6    2    2   26    2    2    0    6    8
   22    0    0    6    0    2    4    8    8    4    2    2   14    0    4    6    4
   23    2    0    4    2    0    0    8   12    4    0    0   16    2    0    8    6
   24    0    0    4    0    4    0    0    0    8   12    0    0   30    2    2    2
   25    6    6    4    4    4    4    0    0    6    4    0    2   18    0    2    4
   26    0   12    0    2    2    2    2    0    8    8    0    2    2   22    2    0
   27    8    8    2    4    2    2    2    0    6    2    0    2    0   20    4    2
   28    0    0    8    6    0    0    4    6    2    0    4    4    2    4   20    4
   29    0    0    4    4    0    0    0    4    2    2    8    8    6    6   16    4
   30    0    2    8   12    0    0    6    0    0    0    4    6    2    0    4   20
   31    2    4    4    4    2    0    2    2    0    0    6    4    6    2    6   20
   32   24    4    8    4    4    0    2    2    0    4    0    0    6    6    0    0
   33   22    2    2    2    2    4    6    0    2    0    2    0   12    4    4    0
   34    2   18    2    2    6    6    0    4    6    2    0    0    6    2    2    6
   35    0   18    4    6    4    8    0    0    4    2    2    0    2   10    0    4
   36    4    4   20    2    0    0    4    6    4    2    0    4    0    2    4    8
   37    2    8   24    2    4    0    4    8    0    0    4    0    2    0    0    6
   38    2    2    0   14    2    2    8    6    0    0    2    0    2    6    8   10
   39    4    4    2   16    2    4    4    4    0    0    2    4    0    2    6   10
   40    4    8    4    2   28    2    2    2    0    4    4    2    2    0    0    0
   41    4    4    2    0   22    2    2    4    4    8    0    2    2    2    4    2
   42    2    8    0    2    0   20    6    2    4   10    2    4    2    2    0    0
   43    4    6    0    2    2   16    2    4    8    8    2    6    2    2    0    0
   44    0    0    4    8    2    4   18    0    4    2   14    4    2    2    0    0
   45    6    0    8    6    6    4   18    4    0    0    6    6    0    0    0    0
   46    2    0    6    6    2    2    0   18    2    4    2   10    4    0    6    0
   47    2    2    6    6    2    2    4   20    2    6    6    2    0    0    2    2
   48    2    0    0    0    0    4    4    2   24    0    4    6    6   12    0    0
   49    4    4    2    0    2    6    4    2   16    2    4    4    8    6    0    0
   50    0    2    0    2    4   12    2    2    0   18    6    0    8    4    0    4
   51    4    2    0    0    8    6    2    6    2   18    2    0    2    6    4    2
   52    0    2    2    4    6    2    8    4    2    2   22    2    0    2    4    2
   53    0    0    0    2    0    0    6    4    8    6   18    2    0    2    8    8
   54    2    0    4    0    2    6    4   10    4    0    2   16    0    2    6    6
   55    0    2    2    0    2    4    6    4    4    0    2   22    2    2    6    6
   56    6    4    0    0    2    4    0    0    6    8    0    0   16    2   10    6
   57    8    2    6    0    4    4    0    0    8    4    2    2   18    0    2    4
   58    8    4    2    4    4    0    0    2    8    2    0    4    2   20    4    0
   59    2   10    0    6    4    2    0    0    4    6    2    2    2   18    2    4
   60    4    2    2    8    2    0    2    4    0    2    4    6    4    2   18    4
   61    2    0    0    4    0    0    4    2    2    4    4    8    2    6   26    0
   62    2    6   10    6    0    0    4    0    0    4    2    6    4    0    2   18
   63    0    0    6   12    0    2    2    2    0    0    6    4   10    4    0   16
